['solidity']	['dapp', 'core']
['llm', 'ai', 'security', 'must', 'valid', 'work', 'authorization', 'south', 'korea', 'time', 'applic', 'ation.', 'provide', 'visa', 'sponsorship', 'position', 'requires', 'working', 'from', 'our', 'seoul', 'off', 'ice.', 'ml']	['aws', 'gitops', 'cloud', 'infra']
['restful', 'api', 'ci', 'cd', 'cloudwatch', 'aws', 'ec', 'rds', 'route', 'cloudfront', 'vpc', 'ssl', 'auto', 'scaling', 'node.js', 'lambda', 'opensearch']	['kotlin', 'framework', 'opensearch', 'jpa', 'hikaricp']
['nowcom', 'ci', 'cd', 'los', 'angeles', 'email', 'communication', 'calico', 'enterprise', 'argocd', 'git', 'bash', 'powershell', 'ms', 'team']	['document', 'ai', 'cvpr', 'iccv', 'eccv', 'neurips', 'aaai', 'ieee', 'emnlp']
['aws', 'idc', 'devops']	['git', 'core', 'data', 'sqlite', 'db', 'sns']
['aws', 'idc', 'node', 'os', 'linux', 'windows', 'dbms']	['restful', 'api', 'openstack', 'cloudstack', 'dbms', 'ci', 'cd']
['backend', 'boot', 'jpa', 'thymeleaf', 'erd', 'git']	['si', 'sm']
['node.js', 'framework', 'aws', 'vpc', 'ec', 'rds', 'iam', 'restful', 'api', 'rdbms', 'git']	['si', 'afa', 'netapp', 'dellemc', 'hitachi']
['typeorm', 'restful', 'api', 'opensearch']	['rag', 'retrieval', 'augmented', 'generation', 'ai']
['backlog', 'user', 'story', 'ux', 'product', 'analyst', 'pm', 'po', 'uml']	['ai', 'assistant']
['search', 'discovery']	['postman', 'jmeter', 'api', 'espresso']
['domain', 'knowledge', 'finelocalizer', 'front', 'end', 'back', 'mm', 'opencv', 'cuda', 'google', 'stack', 'overflow']	['msa', 'websocket', 'aws', 'apm']
['ai', 'sql', 'al', 'framework', 'skill', 'set', 'backend', 'faiss', 'db', 'ml', 'torchserve', 'deepspeed', 'cloud', 'aws', 'gcp', 'communication', 'git', 'figma']	['cloud', 'aws', 'gcp', 'dbms', 'db', 'shell', 'exadata', 'premise', 'pm']
['nmt', 'sllm', 'ml', 'restful', 'api', 'rdb']	['vanilajs']
['cpo', 'ocpp']	['mesh', 'ct', 'mri', 'dl', 'cv', 'sci', 'cmake', 'emscripten', 'vtk']
['ai', 'implicit', 'neural', 'representation', 'gnn', 'field', 'rep', 'diffusion', 'pinn', 'operator', 'learning', 'multi', 'fidelity', 'data', 'driven', 'automl']	['linux', 'git', 'repository']
['mpc', 'wallet', 'api', 'aws', 'boot', 'git']	['mvvm', 'ui', 'opencv', 'ms', 'sql', 'maria', 'db']
['dlp', 'casb', 'drm', 'siem', 'splunk', 'opensearch']	['llm', 'sci', 'scie']
['datarize', 'console', 'crm', 'integration', 'pg']	['low', 'code', 'project', 'leader', 'spa']
['windows', 'wpf']	['ai', 'api', 'restful']
['atlassian', 'ci', 'cd', 'itsm', 'git', 'svn', 'alm', 'open', 'source']	['ui', 'ux', 'devops', 'front', 'end']
['ai', 'aws', 'gcp', 'adtech', 'rtb']	['nice', 'haves', 'entrepreneurial', 'experience', 'with', 'solid', 'understanding', 'business', 'trics.', 'contributing', 'successful', 'projects', 'from', 'their', 'early', 'tages.', 'familiarity', 'agile', 'development', 'processes', 'using', 'scrum', 'anban.', 'tdd', 'automated', 'testing', 'frame', 'works.', 'knowledge', 'static', 'type', 'languages', 'such', 'types', 'cript.', 'integration', 'restful', 'api', 'backend', 'ser', 'vices.', 'desire', 'expand', 'globally', 'work', 'international', 'reach.', 'interest', 'deep', 'tech', 'saas', 'domain', 'particularly', 'digital', 'identity', 'authentication', 'space.']
['ai', 'framework', 'bounding', 'box', 'segmentation', 'polygon', 'polyline', 'points', 'pose', 'key', 'edge', 'computing', 'platform', 'slim', 'machine', 'learning', 'data', 'processing', 'computer', 'vision', 'image', 'opencv', 'text', 'natural', 'language', 'ocr', 'audio', 'big']	['impact', 'saas', 'dbt', 'bigquery']
['linear', 'algebra']	['aws', 'azure', 'container']
['ai', 'enginneer', 'stable', 'diffusion', 'tech', 'gradio', 'jupyter', 'notebook', 'linux', 'aws', 'chat', 'gpt']	['node.js', 'aws', 'azure']
['llm', 'stt', 'rest', 'api', 'linux', 'nlp', 'drf', 'db']	['ux', 'ui', 'open', 'gl', 'metal', 'api']
['app', 'react', 'back', 'office', 'web', 'frontend', 'backend', 'js', 'reactnative', 'git']	['architect', 'container', 'msa', 'paas', 'iam', 'policy', 'security', 'group', 'firewall', 'ips', 'isms', 'iso']
['ai', 'agent', 'dom', 'perception', 'planning', 'action', 'chrome', 'firefox', 'webkit', 'gpt', 'mcp', 'model', 'context', 'protocol', 'application', 'html', 'css']	['pythonic', 'co', 'location', 'dma', 'api', 'asynchronous', 'programming', 'ipc', 'low', 'latency']
['node.js', 'phthon', 'golang', 'api', 'rdb', 'sql', 'http', 'rest', 'git']	['istqb', 'csts', 'qa']
['kpi', 'qa']	['node.js', 'nest.js']
['git', 'ml', 'raw', 'lake', 'house', 'data', 'sql']	['neurips', 'icml', 'iclr', 'cvpr', 'eccv', 'iccv', 'ai', 'self', 'managed', 'individual', 'contributor', 'manage', 'utmost', 'professionalism', 'management', 'independent', 'thinker', 'problem', 'solver', 'dynamic', 'task', 'own', 'effective', 'communicator', 'engineering', 'sync', 'amazing', 'team', 'player', 'spirit']
['fullstack', 'frontend', 'react', 'rtk', 'query', 'three.js', 'backend', 'node.js', 'ex', 'press.js', 'linux', 'aws', 'rest', 'api', 'ocket.io', 'git']	['aws', 'gcp', 'azure']
['ai', 'iot', 'umg', 'os', 'api', 'sdk']	['react.js', 'node.js', 'front', 'end']
['maccaron', 'ai', 'django', 'elk', 'chatcpt']	['ci', 'cd', 'cloud', 'server', 'sns', 'api']
['premise', 'llm', 'ai', 'ml', 'mlops', 'must', 'valid', 'work', 'authorization', 'south', 'korea', 'time', 'applic', 'ation.', 'provide', 'visa', 'sponsorship', 'position', 'requires', 'working', 'from', 'our', 'seoul', 'ffice.']	['kotlin', 'ml', 'rundeck', 'nlp', 'huggingface', 'gpt', 'torchserve', 'serving', 'nosql', 'aws']
['ai', 'llm', 'large', 'language', 'model', 'rag', 'powered', 'autonomous', 'agents', 'ml', 'aws']	['enterprise', 'ai']
['back', 'end', 'node.js', 'serverless', 'backend', 'with', 'aws', 'lambda', 'api', 'gateway', 'cognito', 'sqs', 'ses', 'sns', 'node', 'express', 'server', 'rdb', 'amazon', 'aurora', 'rds', 'sdk', 'nosql', 'firebase', 'auth', 'sam', 'oas', 'jwt', 'react.js', 'next.js', 'restful']	['ecg', 'eeg']
['aws', 'boot', 'batch', 'msa', 'jpa', 'mariadb', 'nosql', 'ecs']	['mapgl', 'three.js', 'server', 'side', 'rendering', 'node.js']
['ai', 'ml', 'android', 'ios', 'full', 'stack', 'react.js', 'vue.js', 'restful', 'api', 'framework', 'kotlin', 'rdbms', 'aws', 'gcp']	['next.js', 'server', 'side', 'rendering', 'monorepo']
['qa', 'ai', 'react', 'spa', 'vue.js', 'kotlin', 'with', 'node.js', 'golang', 'rdb', 'nosql', 'orm', 'aws', 'cloud']	['imitation', 'learning', 'offline', 'manipulator', 'robotics', 'ros', 'isaac', 'sim']
['frontend', 'react', 'ux', 'server', 'client', 'vercel', 'supabase']	['client']
['tcp', 'udp']	['react', 'next.js']
['bi', 'sql', 'salesforce', 'marketing', 'cloud', 'crm', 'rdbms']	['mqtt', 'iot', 'microservice', 'architecture', 'ci', 'cd']
['azure', 'aws', 'linux', 'windows', 'tcp', 'ip', 'network', 'cloud']	['microsoft', 'office', 'azure', 'naver', 'aws']
['sems', 'ghost', 'iot', 'ai']	['cisa', 'cissp', 'cppg', 'drm', 'dlp', 'nac', 'isms', 'iso']
['idc', 'solarwindws', 'drm', 'dlp', 'nac', 'db', 'forti', 'waf', 'ips', 'pci', 'dss', 'isms']	['ai', 'ml', 'icml', 'iclr', 'neurips', 'scie', 'reflexion', 'autogpt', 'babyagi', 'agent']
['health', 'beauty', 'live', 'young', 'introduction', 'oliveyoung', 'global', 'dev', 'center', 'committed', 'building', 'world', 'best', 'omni', 'channel', 'serv', 'ice.', 'are', 'mission', 'copy', 'success', 'korea', 'let', 'citizens', 'enjoy', 'same', 'quality', 'convenience', 'living', 'ife.', 'come', 'join', 'nation', 'most', 'minds', 'build', 'commerce', 'service', 'scale', 'never', 'existed', 'efore.', 'platform', 'team', 'under', 'two', 'main', 'objecti', 'ves.', 'first', 'take', 'care', 'domain', 'services', 'involved', 'post', 'order', 'proces', 'ses.', 'example', 'develop', 'features', 'such', 'payment', 'shipment', 'payout', 'etc.', 'ensure', 'they', 'interact', 'organically', 'with', 'external', 'syst', 'ems.', 'second', 'provides', 'cloud', 'based', 'infrastructure', 'essential', 'only', 'stable', 'operation', 'mall', 'also', 'scalable', 'hosting', 'other', 'cross', 'servi', 'ces.', 'years', 'professional', 'software', 'development', 'experi', 'ences.', 'proficiency', 'one', 'modern', 'programming', 'langu', 'age.', 'experience', 'native', 'migr', 'ation.', 'good', 'understanding', 'web', 'architec', 'tures.', 'love', 'face', 'technical', 'challenges', 'self', 'motiv', 'possession', 'logical', 'thinking', 'effective', 'communication', 'kills.', 'intensive', 'collaboration', 'functional', 'teams.']	['web', 'browser']
['product', 'manager', 'user', 'buyer', 'pmf', 'market', 'fit', 'pm', 'po']	['platform', 'service', 'sdk', 'mobile', 'pc', 'console', 'third', 'party', 'steam']
['mcat', 'mvp', 'api', 'db', 'cloud', 'aws', 'gcp', 'orm']	['code', 'review', 'nft']
['devops', 'aws', 'ncp', 'rhel', 'ubuntu', 'git']	['opencv', 'matrox', 'imaging', 'library', 'ai']
['talk', 'ai', 'hw', 'lite', 'model', 'optimization', 'cpu', 'gpu', 'npu', 'tool', 'hardware', 'onnx', 'lazy', 'evaluation']	['mvc', 'http', 'rdbms', 'aws', 'ci', 'cd', 'pipeline']
['computer', 'vision', 'deep', 'learning', 'icms', 'ai', 'science', 'software', 'engineering', 'electrical', 'electronics', 'scratch', 'sw']	['django', 'rest', 'framework', 'aws', 'ec', 'rds', 'db', 'orm', 'container', 'pop']
['aws', 'gcp', 'etl', 'elt', 'sw', 'sql', 'hiveql']	['freertos', 'cortex', 'kernel', 'canfd']
['react', 'reactnative', 'next.js', 'webpack', 'babel', 'query', 'tanstack', 'figma', 'html', 'css', 'es', 'ui', 'ux', 'toeic']	['npu', 'gpu']
['hr', 'package', 'jade', 'erp', 'pm']	['kotlin', 'react', 'ios', 'flutter']
['django', 'pytest', 'dynamodb', 'opensearch', 'eks', 'amazon', 'mq', 'cloudwatch', 'sentry', 'web', 'framework', 'application', 'sql', 'git']	['elk', 'bash', 'shell', 'script', 'ubuntu']
['sensor', 'edge', 'computing', 'model', 'serving', 'ai', 'cs', 'git']	['ui', 'si']
['db', 'pca', 'regression', 'sas', 'spss']	['ai', 'ui', 'ux']
['ai']	['dicom', 'pacs', 'platform', 'windows', 'linux', 'ubuntu', 'aws', 'ui', 'ux', 'i.e.', 'figma']
['os']	['public', 'cloud', 'native', 'aws']
['ble', 'follow', 'gui', 'st', 'nordic', 'mcu']	['cfd', 'house', 'code']
['llm', 'ai', 'langchain', 'langgraph', 'rag', 'langraph', 'rasa', 'flowise', 'langfuse']	['computer', 'vision', 'robotics', 'ffmpeg']
['fx', 'cms', 'language', 'kotlin', 'shell', 'framework', 'boot', 'mvc', 'webflux', 'security', 'cloud', 'web', 'ui', 'jsp', 'server', 'pages', 'batch', 'data', 'jpa', 'jdbc', 'mariadb', 'test', 'ci', 'cd', 'git', 'actions', 'operation', 'pinpoint', 'infra', 'apache', 'nginx', 'aws', 'ncp', 'architecture', 'msa', 'cs', 'jvm', 'rdbms']	['pos', 'ocr', 'clicker', 'flutter', 'backend']
['perform', 'daily', 'system', 'monitoring', 'operation', 'tasks', 'administration', 'participate', 'projects', 'requiring', 'infrastructure', 'architecture', 'design', 'solutions', 'customers', 'support', 'wintel', 'linux', 'redhat', 'ubuntu', 'virtualization', 'technologies', 'e.g.', 'vmware', 'storage', 'backup', 'technology', 'esxi', 'windows', 'server', 'standby', 'data', 'center', 'bau', 'develop', 'procedures', 'ensure', 'proper', 'control', 'itsm', 'risk', 'management', 'security', 'are', 'place', 'such', 'dr', 'drill', 'bcp.', 'manage', 'vendors', 'suppliers', 'distributors', 'resolve', 'incidents', 'problems', 'plan', 'complete', 'project', 'implementation', 'rollout', 'assist', 'lead', 'managing', 'customer', 'procurement', 'activities', 'preparing', 'tenders', 'obtaining', 'ballpark', 'quotations', 'with', 'proof', 'concepts', 'poc', 'build', 'demo', 'environments', 'based', 'planned', 'designs', 'maintain', 'technical', 'documentation', 'accurate', 'coach', 'mentor', 'junior', 'staff', 'bcp', 'degree', 'holder', 'information', 'computer', 'science', 'systems', 'related', 'discipline', 'relevant', 'administrator', 'certifica', 'tions.', 'least', 'years', 'experience', 'role', 'cloud', 'deployment', 'exper', 'ience.', 'deploying', 'maintaining', 'active', 'directory', 'sccm', 'ms', 'exchange', 'iis', 'sql', 'technol', 'ogies.', 'certificate', 'platform', 'aws', 'azure', 'advantage', 'capable', 'virtual', 'using', 'hyper', 'san', 'nas', 'networking', 'etc.', 'proficiency', 'one', 'scripting', 'language', 'powershell', 'ability', 'scripts', 'maintenance', 'tasks.', 'strong', 'communication', 'coordination', 'skills', 'able', 'effectively', 'communicate', 'collaborate', 'other', 'smes', 'understanding', 'network', 'dns', 'dhcp', 'tcp', 'udp', 'smtp', 'ssl', 'tls.', 'innovative', 'thinking', 'problem', 'solving', 'abilities', 'continuous', 'drive', 'improve', 'optimize', 'physical', 'performance', 'sec', 'urity.', 'analytical', 'self', 'motivation', 'work', 'under', 'pre', 'ssure.', 'sme', 'tls']	['ai', 'hpc', 'gpu', 'mpi', 'nccl', 'asplos', 'hpdc', 'isca', 'micro', 'pact', 'pldi', 'ppopp', 'sc']
['react', 'linux', 'jquery', 'css']	['aws', 'ecosystem']
['ci', 'cd', 'devops', 'kotlin', 'aws', 'rdbms', 'nosql', 'language', 'framework', 'django', 'data', 'infra', 'eb', 'ecs', 'elasticcache']	['kalman', 'particle', 'google', 'workspace']
['kotlin', 'dynamodb', 'aws']	['git', 'flutter']
['dbms', 'linux', 'windows', 'sql']	['git', 'frontend']
['agile', 'react', 'flutter', 'vue', 'end', 'ci', 'cd', 'browserstack', 'restful', 'api']	['kotlin', 'golang', 'google', 'cloud', 'aws', 'rdbms', 'nosql', 'data', 'warehouse']
['llm', 'gpu', 'ai', 'api', 'ml', 'ops']	['deep', 'learning', 'mlops', 'framework']
['boot', 'oop', 'restful', 'api', 'git', 'branch']	['cosmos', 'sdk', 'cometbft', 'tendermint', 'ethereum', 'solidity', 'cosmwasm']
['web', 'next.js', 'type', 'script', 'seo', 'ui', 'ux', 'html', 'css', 'es', 'react']	['cad', 'three.js', 'cae', 'ml', 'dl', 'ai', 'webassembly', 'hpc', 'sge', 'slurm', 'opencascade', 'salome', 'vtk', 'openfoam', 'code', 'aster', 'ci', 'cd']
['app', 'web', 'test', 'scenario', 'case', 'qa', 'postman', 'testrail']	['aws', 'html', 'css']
['pollex', 'ui', 'ux', 'altair', 'pcb', 'dfm', 'dfa', 'dfe', 'pi', 'si', 'written', 'verbal', 'communication', 'skills']	['certified', 'payment', 'professional', 'pci', 'dss', 'api', 'postman']
['mlops', 'engineer', 'cloud', 'edge', 'ai', 'label', 'studio', 'qa', 'rest', 'api', 'onnx', 'tensorrt', 'ml', 'django', 'deep', 'lake', 'nvidia', 'triton', 'inference', 'server', 'aws', 'sagemaker']	['golang', 'websocket', 'ocket.io', 'decentralized', 'identifier', 'did', 'verifiable', 'credential', 'vc', 'aws', 'gcp', 'azure']
['backend', 'frontend', 'framework', 'vue', 'react', 'sql', 'si', 'pl']	['ai', 'top', 'tier']
['sap', 'mm', 'pp', 'abap']	['llm', 'evaluation', 'top', 'tier', 'conference', 'ai', 'nlp', 'international', 'main', 'track', 'agent', 'multimodal', 'knowledge', 'graph']
['edutech', 'html', 'css', 'client', 'server']	['restful', 'api', 'cross', 'browsing', 'threejs', 'opencv', 'mediapipe', 'webassembly', 'aws']
['icd', 'mcu', 'sw', 'rtos', 'uart', 'spi']	['qnx', 'bluetooth', 'wifi', 'git', 'repo', 'genivi', 'android', 'platform']
['boot', 'pyspark', 'machine', 'learning', 'aws', 'ci', 'cd', 'bamboo', 'spinnaker', 'argocd', 'ai', 'ml', 'product', 'apache']	['vpn']
['aws', 'boot', 'rest', 'api', 'thymeleaf']	['react', 'git']
['llm']	['objective', 'ios', 'mvvm']
['pc', 'mobile', 'front', 'end', 'monitoring', 'snmp', 'cacti', 'elk', 'datadog', 'bcp', 'drp', 'vue.js', 'html', 'css', 'es', 'cloud', 'aws', 'cloudfront', 'git']	['rdbms', 'bigquery']
['tech', 'loose', 'coupling', 'research', 'react', 'next.js', 'ui', 'todo', 'doing', 'cloud', 'ci', 'cd', 'micro', 'pull', 'request', 'git', 'front', 'end', 'mmp', 'seo', 'aso', 'spa', 'vue', 'problem', 'solving']	['pm', 'pl', 'ai', 'data', 'product', 'application']
['data', 'storage', 'service', 'staging', 'area', 'lake', 'warehouse', 'marts', 'operational', 'stores', 'wrangling', 'cleansing', 'etl', 'elt', 'cs', 'ce', 'redshift', 'big', 'query', 'dm', 'bi', 'consumer']	['tech', 'stack', 'webpack']
['ui', 'ux', 'seo', 'blockchain', 'web', 'react.js', 'vue.js', 'html', 'css']	['msa', 'apache']
['rag', 'instruction', 'sentencetransformer', 'few', 'shot', 'raptor', 'raft', 'hyde', 'cot', 'auto', 'prompt', 'react', 'reflextion', 'self', 'critique']	['ml', 'ai', 'rdbms', 'dynamodb', 'cassandra', 'android', 'ios']
['erp', 'back', 'end', 'front', 'developer', 'ms', 'sql', 'db']	['aws', 'security', 'specialty', 'csa', 'star', 'iso']
['troubleshooting']	['sentry']
['data', 'api', 'product', 'sql']	['aws', 'rdbms', 'nosql']
['api', 'db', 'nosql', 'rdbms', 'kotlin']	['qa', 'istqb', 'csts', 'atlassian']
['oss', 'open', 'source', 'software', 'iaas', 'paas', 'vpc', 'vpn', 'directconnect']	['dw', 'dm', 'etl', 'aws', 'gcp']
['ecu', 'cad', 'matlab', 'simulink', 'rapid', 'prototyping', 'machine', 'ni', 'dspace', 'ms', 'office']	['ml', 'ops', 'pipeline', 'dbt', 'aws', 'cloud', 'airbyte', 'datahub']
['lisa', 'datacamp', 'vision', 'ai', 'problem', 'solving']	['azure', 'platform', 'saas', 'cloud']
['app', 'qa', 'dev', 'pm', 'design', 'cs', 'team', 'manual', 'sw', 'ios', 'android', 'platform']	['golang', 'ci', 'cd', 'linux', 'os']
['node.js', 'mvc', 'framework', 'http', 'https', 'restful', 'api', 'git', 'jest']	['dataops', 'devops', 'cdc', 'change', 'data', 'capture', 'ha', 'dr']
['flux', 'stable', 'diffusion', 'ai', 'ml']	['boot', 'nest.js', 'react', 'devops']
['webrtc', 'application', 'react', 'vue', 'webpack', 'es', 'script', 'html', 'css']	['powerbi', 'db', 'sql', 'ai']
['sdk', 'api', 'ad', 'ssp', 'dsp', 'restful', 'rdbms', 'nosql']	['getx', 'provider', 'bloc', 'flutter', 'ui', 'ux']
['ai', 'robotics', 'figma', 'ux', 'ui', 'pms', 'excel']	['potential', 'jeff', 'bezos', 'amazon']
['deepstream', 'fishscope', 'pose', 'estimation', 'reconstruction', 'opencv']	['ai', 'test', 'driven', 'development', 'tdd']
['software', 'engineer', 'nest.js']	['databricks', 'etl', 'query', 'plan', 'pdf']
['pipeline', 'cloud', 'iac', 'ci', 'cd', 'configuration', 'management', 'devops', 'aws', 'gcp', 'ncp']	['observability']
['sllm', 'ai', 'applicants', 'who', 'are', 'korean', 'nationality', 'please', 'specify', 'your', 'current', 'visa', 'status']	['shell', 'script', 'database', 'oracle', 'mariadb', 'web', 'was', 'apache', 'tomcat', 'ci', 'cd', 'argo']
['node.js', 'qa', 'aws', 'db']	['smart', 'contract', 'opensource', 'audit', 'report', 'dapp', 'core']
['mlops', 'platform', 'sota', 'gpu', 'pipeline', 'dl', 'sw']	['smart', 'contract', 'evm', 'multisig', 'hsm', 'mpc', 'wallet', 'network', 'non', 'solana', 'bridge']
['apple', 'ios', 'app', 'ble', 'api', 'store']	['rdbms', 'nosql', 'storage', 'linux', 'aws', 'test', 'driven', 'development', 'tdd']
['liner', 'ml', 'search', 'llm', 'llama', 'qwen', 'post', 'training', 'information', 'retrieval', 'question', 'answering', 'instruction', 'tuning', 'pruning', 'quantization', 'speculative', 'decoding', 'inters', 'html', 'parser', 'slm', 'jina', 'readerlm', 'reranking', 'relevance', 'authority', 'trustfulness', 'ranking', 'rerank', 'cohere', 'baai', 'bge', 'intent', 'query', 'understanding', 'expansion', 'classification', 'level', 'user', 'vertical', 'applied', 'safety', 'moderation', 'e.g.']	['django', 'rest', 'framework', 'aws', 'gcp', 'singlestore', 'frontend', 'react', 'next.js', 'container', 'terraform', 'iac']
['fe', 'front', 'end', 'architecture', 'legacy', 'html', 'css', 'react', 'webpack', 'rollup', 'vite']	['android', 'ios', 'git']
['gui', 'linux', 'ethercat', 'tcp', 'ip', 'udp', 'rs', 'shared', 'memory', 'ipc', 'safety', 'critical']	['aws', 'gcp', 'webpack']
['mlops', 'engineer', 'ai', 'llm', 'ocr', 'aws', 'gcp', 'azure']	['ci', 'cd', 'rn', 'webrtc', 'jest']
['netfunnel', 'premise', 'saas', 'qa', 'agile', 'waterfall', 'lean', 'ui', 'ux', 'onprem', 'web', 'native', 'app', 'server', 'platform', 'api']	['commerce', 'ips', 'vpn', 'firewall', 'db', 'waf', 'aws', 'gcp', 'react', 'api', 'node.js', 'gunicorn', 'elastic', 'cloud', 'cache', 'search', 'route', 'cloudfront', 'elb', 'eks', 'ec', 'lambda', 'ci', 'cd', 'actions', 'git', 'datadog', 'watch', 'tailscale', 'shield', 'advnaced', 'sg', 'config', 'okta']
['llm', 'agent', 'engineer', 'ai', 'intelligence', 'layer', 'kyc', 'know', 'your', 'client', 'due', 'diligence', 'intelligent', 'automation', 'rag', 'fine', 'tuning', 'langchain', 'dm']	['redmine', 'ex.', 'istqb', 'csts']
['android', 'ios', 'react', 'next.js', 'hook', 'state']	['ml', 'ai', 'mlops', 'aws', 'gcp', 'azure']
['ios', 'android', 'ui', 'ux', 'git', 'ci', 'cd', 'objective', 'lazy', 'loading', 'jest', 'detox']	['experience', 'network', 'iot', 'device', 'co', 'ntrol.', 'with', 'flutter', 'app', 'development', 'pref', 'erred.', 'mass', 'production', 'android', 'platform', 'mobile', 'kiosk', 'etc', 'sw', 'quality', 'assurance', 'reliability', 'methodology', 'six', 'sigma', 'etc.', 'environment', 'mac', 'linux', 'os.']
['iaas', 'oss', 'wbs', 'rdbms']	['nfc', 'gps', 'beacon']
['boot', 'aws', 'ai']	['app', 'billing', 'mvvm', 'android', 'viewmodel', 'room', 'jetpack', 'compose', 'coroutine', 'google', 'play', 'one', 'store']
['react.js', 'web', 'admin', 'view', 'react', 'native', 'css', 'html', 'es']	['rcs']
['front', 'end', 'html', 'css', 'es', 'react', 'rest', 'api', 'socket', 'cloud', 's.p.a', 'ui']	['lg']
['boot', 'jpa', 'mariadb', 'restful', 'api', 'ci', 'cd', 'back', 'end', 'developer', 'msa', 'git']	['ccna', 'ms', 'office', 'aws']
['jquery', 'html', 'sass', 'api', 'json', 'pc']	['ios', 'apple', 'hig', 'zeplin', 'ui', 'ux', 'api']
['react', 'feature', 'rest', 'api', 'websocket']	['node.js', 'django', 'beautifulsoup', 'elk', 'jest']
['architect', 'develop', 'state', 'art', 'llm', 'based', 'ai', 'applications', 'design', 'refine', 'intelligent', 'conversation', 'flows', 'implement', 'advanced', 'prompt', 'engineering', 'techniques', 'grounding', 'diverse', 'knowledge', 'sources', 'llms', 'including', 'external', 'apis', 'search', 'results', 'establish', 'automated', 'evaluation', 'processes', 'continuously', 'improve', 'service', 'quality', 'code', 'manage', 'complex', 'text', 'processing', 'dynamic', 'generation', 'data', 'preprocessing', 'optimize', 'performance', 'cost', 'keep', 'abreast', 'latest', 'advancements', 'integrate', 'these', 'insights', 'into', 'ongoing', 'pro', 'jects.', 'collaborate', 'with', 'cross', 'functional', 'teams', 'solutions', 'existing', 'systems', 'bachelor', 'master', 'degree', 'computer', 'science', 'artificial', 'intelligence', 'linguistics', 'related', 'field', 'equivalent', 'experience', 'strong', 'command', 'english', 'crafting', 'effective', 'prompts', 'communication', 'proficient', 'track', 'record', 'api', 'integration', 'automation', 'depth', 'various', 'their', 'architectures', 'cloud', 'deployment', 'platforms', 'aws', 'azure', 'deploying', 'managing', 'models', 'excellent', 'problem', 'solving', 'analytical', 'skills']	['sql', 'excel', 'hugging', 'face', 'q.', 'a.', 'pd']
['premise', 'cluster', 'cloud', 'sns', 'linux', 'os', 'network']	['nest.js', 'orm', 'npm', 'yarn', 'pnpm', 'figma', 'sketch', 'zeplin', 'aws', 'gcp', 'azure', 'opensearch', 'pg']
['arm', 'cortex', 'uart', 'spi', 'gpio', 'adc', 'ble', 'wifi', 'ecg', 'ppg']	['qa']
['test', 'case', 'qa']	['aac', 'avc', 'hevc', 'av', 'hls', 'dash']
['windows', 'linux', 'web', 'was', 'dbms', 'network', 'nagios']	['os', 'api', 'aws', 'gcp', 'terraform', 'iac', 'infrastructure', 'code']
['ui', 'git', 'aws', 'datadog', 'streamlit', 'rdbms', 'qa']	['data', 'science', 'competition', 'aws', 'azure', 'gcp', 'cloud', 'nextflow', 'argo', 'hpc', 'high', 'performance', 'computing']
['noc']	['android', 'ios', 'restful', 'api']
['machine', 'learning', 'deep']	['linux', 'orm', 'web', 'service', 'aws', 'restful', 'api', 'git']
['ml', 'dl', 'git', 'ci', 'cd']	['vite', 'webpack', 'css', 'unocss', 'vanila', 'extract', 'ui', 'mjs', 'cjs', 'esm', 'commonjs', 'aws', 'azure', 'gcp']
['toggle', 'service', 'infra', 'cloud', 'premis', 'google', 'platform', 'ci', 'cd', 'issue', 'premise', 'network']	['ide', 'xcode']
['db', 'oop', 'django', 'rds', 'restful', 'api', 'aws', 'git']	['azure', 'aws']
['cakephp', 'golang']	['sql', 'database', 'deep', 'learning', 'svm', 'lda', 'digital', 'signal', 'processing', 'frequency', 'domain', 'filter', 'data', 'visualization', 'tool', 'ex.']
['ocr', 'optical', 'character', 'recognition', 'formula', 'table', 'vision', 'language', 'model', 'augmentation', 'layout', 'aware', 'document', 'parser', 'back', 'end', 'front', 'ux', 'ui', 'nlp', 'ai', 'computer', 'pandas', 'git']	['web', 'server', 'client', 'api', 'sdk', 'ci', 'cd', 'robotics']
['key', 'responsibilities', 'required', 'skills', 'stl']	['vlan', 'vxlan', 'openstack']
['nac', 'linux', 'windows']	['pos', 'dll', 'ci', 'cd', 'robotics', 'ros']
['webflux', 'virtual', 'thread', 'hexagonal', 'architecture', 'msa', 'jetbrains', 'intellij', 'etc', 'agile', 'private', 'public', 'cloud']	['modularization', 'git', 'stomp', 'mqtt', 'apns', 'realm', 'unit', 'ui', 'flutter']
['risk', 'audit', 'product', 'test', 'engineering', 'infrastructure', 'process', 'voltage', 'temperature', 'pe', 'qa']	['aws', 'iac', 'terraform', 'pulumi']
['msa', 'devops']	['api', 'cve']
['amhs']	['ai', 'clang', 'llvm', 'gcc', 'hpc', 'gpu', 'asplos', 'hpdc', 'isca', 'micro', 'pact', 'pldi', 'ppopp', 'sc']
['react', 'mobile', 'app']	['speaker', 'recognition']
['node.js', 'server', 'oop', 'aws', 'rdbms', 'orm']	['aws', 'devops', 'iot']
['https', 'ibeon.ai', 'msa', 'boot', 'security', 'oauth', 'authorization', 'data', 'jpa', 'ith.', 'querydsl', 'typescrpit', 'react.js', 'apache']	['three.js', 'react', 'next', 'js', 'shader']
